Fecha;Canal;Share(%);
2019-04-04;ANTENA-3;12.6;
2019-04-05;ANTENA-3;11.9;
2019-04-04;ANTENA-3-MEGA;1.5;
2019-04-05;ANTENA-3-MEGA;1.6;
2019-04-04;ANTENA-3-NEOX;2.5;
2019-04-05;ANTENA-3-NEOX;2.9;
2019-04-04;ANTENA-3-NOVA;2.2;
2019-04-05;ANTENA-3-NOVA;2.2;
2019-04-04;Atreseries;1.1;
2019-04-05;Atreseries;1.4;
2019-04-04;BOING;0.8;
2019-04-05;BOING;1.1;
2019-04-04;CLAN;1.8;
2019-04-05;CLAN;1.9;
2019-04-04;CUATRO;4;
2019-04-05;CUATRO;4.6;
2019-04-04;DISCOVERY-MAX;1.6;
2019-04-05;DISCOVERY-MAX;1.7;
2019-04-04;DIVINITY;1.8;
2019-04-05;DIVINITY;2.2;
2019-04-04;ENERGY;1.9;
2019-04-05;ENERGY;2.6;
2019-04-04;FDF;2.7;
2019-04-05;FDF;3;
2019-04-04;LA-SEXTA;8;
2019-04-05;LA-SEXTA;7.7;
2019-04-04;LA1;8.9;
2019-04-05;LA1;8.6;
2019-04-04;LA2;3;
2019-04-05;LA2;3;
2019-04-04;TELECINCO;17.6;
2019-04-05;TELECINCO;15.2;
2019-04-04;TELEDEPORTE;0.3;
2019-04-05;TELEDEPORTE;0.4;
2019-04-04;TRECE;2.1;
2019-04-05;TRECE;1.9;
