Fecha;Canal;Hora;Programa;Espectadores;Share(%);
2019-03-21;LA1;06:30;TELEDIARIO MATINAL;239.000;17.6%;
2019-03-21;LA1;08:27;LOS DESAYUNOS DE TVE / ROCIO MONASTERIO;274.000;11.3%;
2019-03-21;LA1;10:01;LA MAĂANA;234.000;7.2%;
2019-03-21;LA1;13:23;HACER DE COMER / SPAGHETTI CON FRUTTI DI MARE;320.000;5.2%;
2019-03-21;LA1;13:55;CERCA DE TI;12.000;0.1%;
2019-03-21;LA1;13:59;D.REG(INFORMATIVO TERRITORIAL 1);564.000;6.6%;
2019-03-21;LA1;13:59;INFORMATIVO TERRITORIAL 1;471.000;5.5%;
2019-03-21;LA1;13:59;L'INFORMATIU COMUNITAT VALENCIANA 1;101.000;1.2%;
2019-03-21;LA1;13:59;L'INFORMATIU MIGDIA 1;80.000;0.9%;
2019-03-21;LA1;13:59;NOTICIAS ANDALUCIA 1;69.000;0.8%;
2019-03-21;LA1;13:59;INFORMATIVO MADRID 1;67.000;0.8%;
2019-03-21;LA1;13:59;PROGRAMACION REGIONAL;53.000;0.6%;
2019-03-21;LA1;13:59;TELENORTE 1;41.000;0.5%;
2019-03-21;LA1;13:59;TELEXORNAL 1;31.000;0.4%;
2019-03-21;LA1;13:59;NOTICIAS CASTILLA-LA MANCHA 1;29.000;0.3%;
2019-03-21;LA1;13:59;NOTICIAS MURCIA 1;26.000;0.3%;
2019-03-21;LA1;13:59;NOTICIAS CASTILLA Y LEON 1;26.000;0.3%;
2019-03-21;LA1;13:59;NOTICIAS ARAGON 1;12.000;0.1%;
2019-03-21;LA1;13:59;INFORMATIU BALEAR 1;8.000;0.1%;
2019-03-21;LA1;13:59;FLASH MODA MONOGRAFICOS / PEDRO DEL HIERRO:LA FRAGILIDAD DEL MAESTRO;5.000;0.1%;
2019-03-21;LA1;13:59;PANORAMA REGIONAL 1;3.000;0%;
2019-03-21;LA1;14:32;CORAZON;930.000;8.5%;
2019-03-21;LA1;15:05;TELEDIARIO 1;1.554.000;13%;
2019-03-21;LA1;16:27;SERVIR Y PROTEGER;1.028.000;9.8%;
2019-03-21;LA1;17:26;ACACIAS 38;807.000;8.6%;
2019-03-21;LA1;18:23;DERECHO A SOĂAR;390.000;4.3%;
2019-03-21;LA1;19:14;ESPAĂA DIRECTO;558.000;5.2%;
2019-03-21;LA1;20:31;AQUI LA TIERRA;1.405.000;10%;
2019-03-21;LA1;21:04;TELEDIARIO 2;1.805.000;10.6%;
2019-03-21;LA1;22:13;LO SIGUIENTE;1.101.000;6%;
2019-03-21;LA1;22:44;CUENTAME COMO PASO / EL AĂO DE LA SERPIENTE;2.202.000;14.2%;
2019-03-21;LA1;00:07;D.REG(OCHENTAME...OTRA VEZ) / HIMNOS DE LOS 80(VOL.3);836.000;9.7%;
2019-03-21;LA1;00:07;OCHENTAME...OTRA VEZ / HIMNOS DE LOS 80(VOL.3);794.000;9.2%;
2019-03-21;LA1;00:07;EL DEBAT DE LA 1;38.000;0.5%;
2019-03-21;LA1;01:04;D.REG(OCHENTAME...OTRA VEZ) / MODERNO...PERO CAĂI;294.000;6%;
2019-03-21;LA1;01:04;OCHENTAME...OTRA VEZ / MODERNO...PERO CAĂI;272.000;5.6%;
2019-03-21;LA1;01:34;OCHENTAME...OTRA VEZ / HIMNOS DE LOS 80(VOL.3);6.000;0.2%;
2019-03-21;LA1;02:03;LA NOCHE EN 24H:AVANCE;115.000;4.4%;
2019-03-21;LA1;02:03;D.REG(LA NOCHE EN 24H:AVANCE);115.000;4.4%;
2019-03-22;LA1;06:30;TELEDIARIO MATINAL;195.000;14%;
2019-03-22;LA1;08:26;LOS DESAYUNOS DE TVE / SIMON MANLEY;252.000;10.8%;
2019-03-22;LA1;10:01;LA MAĂANA;231.000;7.2%;
2019-03-22;LA1;13:22;HACER DE COMER / BIZCOCHO DE CEREZAS;305.000;5.3%;
2019-03-22;LA1;13:54;CERCA DE TI;8.000;0.1%;
2019-03-22;LA1;13:59;D.REG(INFORMATIVO TERRITORIAL 1);524.000;6.4%;
2019-03-22;LA1;13:59;INFORMATIVO TERRITORIAL 1;516.000;6.3%;
2019-03-22;LA1;13:59;INFORMATIVO MADRID 1;63.000;0.8%;
2019-03-22;LA1;13:59;NOTICIAS MURCIA 1;21.000;0.3%;
2019-03-22;LA1;13:59;PANORAMA REGIONAL 1;7.000;0.1%;
